# ngram	es	en	pt	fr
 el	1.8	-0.4	-0.5	0.1
 la	0.7	-0.2	0.3	0.4
 lo	0.8	-0.2	0.2	-0.2
 los	1.2	-0.2	0.1	-0.3
 las	1.2	-0.2	0.1	-0.3
 un	0.8	0.0	0.3	-0.2
 una	1.0	-0.2	0.2	-0.2
 yo	1.9	-0.2	-0.1	-0.4
 que	0.8	-0.1	0.7	-0.3
 por	0.6	-0.2	0.7	1.0
 muj	2.2	-0.3	-0.6	-0.4
 mej	1.9	-0.2	-0.5	-0.4
 bor	1.7	-0.2	-0.2	-0.4
 aho	1.2	-0.1	-0.2	-0.2
 pue	1.0	-0.1	-0.1	-0.2
 mar	0.8	0.0	-0.1	-0.2
 march	1.1	-0.1	-0.1	-0.2
 ñ	2.8	-0.2	-0.4	-0.4
 th	-0.4	2.0	-0.4	-0.2
 the	-0.3	2.4	-0.3	-0.3
 ing	-0.2	1.7	-0.2	-0.3
 you	-0.2	2.1	-0.2	-0.4
 wi	-0.2	1.0	-0.1	-0.2
 wa	-0.2	0.9	-0.1	-0.2
 eu	-0.4	-0.2	2.0	-0.3
 meu	-0.3	-0.2	2.1	-0.3
 minh	-0.2	-0.2	1.8	-0.3
 você	-0.3	-0.2	2.7	-0.4
 não	-0.3	-0.2	2.5	-0.3
 ão	-0.2	-0.1	1.5	-0.2
 ã	-0.2	-0.1	1.8	-0.2
 çã	-0.2	-0.1	1.5	0.2
 je	-0.2	-0.2	-0.3	1.9
 avec	-0.3	-0.2	-0.3	2.4
 pour	-0.2	-0.2	0.0	2.0
 nous	-0.2	-0.2	-0.2	2.0
 œ	-0.2	-0.1	-0.2	2.6
