title,language
Ahora Te Puedes Marchar,es
Borracho de Celos,es
Amigos con Derechos,es
El Mejor de Mis Recuerdos,es
Así Soy Yo,es
Besitos Por Botellas,es
Mi Último Deseo,es
Robarte un Beso,es
No Sufriré Por Nadie,es
Amor Verdadero Para Siempre,es
Mala Mujer,es
Yo Ya No Vuelvo Contigo,es
La Encontré,es
La Celosa,es
La Culpa,es
El Mozo,es
Me Volviste un Borracho,es
Quiero Verte Otra Vez,es
Por Tu Amor,es
Cuando Me Enamoro,es
Dancing in the Dark,en
Thinking Out Loud,en
I Will Always Love You,en
Don't Stop Me Now,en
Wake Me Up Before You Go,en
Nothing Else Matters,en
The Sound of Silence,en
Everybody Wants to Rule the World,en
You Are Not Alone,en
Walking on Sunshine,en
Waiting For Love,en
Understand,en
Stay With Me,en
Beautiful Girl,en
My Life,en
Let Me Go,en
Love Is All Around,en
Take Me Home Tonight,en
Forever Young,en
All We Need Is Love,en
Olha a Explosão,pt
Ai Se Eu Te Pego,pt
Você Não Sabe do Meu Coração,pt
Canção Para Minha Vida,pt
Tudo Que Você Quiser,pt
Meu Amor Não Vai Embora,pt
Saudade da Minha Terra,pt
Quando a Chuva Passar,pt
Eu Sei Que Vou Te Amar,pt
Não Quero Dinheiro,pt
A Vida Toda Com Você,pt
Nosso Sonho de Amor,pt
Minha Mulher,pt
Meu Melhor Amigo,pt
Eu Não Vou Embora,pt
Por Você,pt
Não Me Esqueça,pt
O Melhor,pt
Minha Vida,pt
Amor Verdadeiro,pt
Mujer Bonita,es
La Mejor Canción,es
Mi Corazón,es
Yo Soy Así,es
Tu Vida,es
Vida de Amor,es
Calma en la Noche,es
No Te Quiero Perder,es
Una Mujer,es
El Amor de Mi Vida,es
Corazón Roto,es
Mejor Sin Ti,es
Yo Te Amo,es
Por Siempre Juntos,es
La Vida Sigue,es
Pretty Woman,en
My Broken Heart,en
I Am Like This,en
Your Life,en
Love Tonight,en
Calm in the Night,en
I Don't Want to Lose You,en
One Beautiful Girl,en
The Love of My Life,en
Broken Heart,en
Better Without You,en
I Love You,en
Together Forever,en
Life Goes On,en
Woman in Love,en
Mulher Bonita,pt
A Melhor Canção,pt
Meu Coração,pt
Eu Sou Assim,pt
Sua Vida,pt
Vida de Amor,pt
Calma na Noite,pt
Não Quero Te Perder,pt
Uma Mulher,pt
O Amor da Minha Vida,pt
Coração Partido,pt
Melhor Sem Você,pt
Eu Te Amo,pt
Juntos Para Sempre,pt
A Vida Continua,pt
Femme Fatale,fr
Mon Cœur Brisé,fr
Je Suis Comme Ça,fr
Ta Vie,fr
Amour de Nuit,fr
Calme dans la Nuit,fr
Je Ne Veux Pas Te Perdre,fr
Une Belle Fille,fr
L'amour de Ma Vie,fr
Cœur Brisé,fr
Mieux Sans Toi,fr
Je T'aime,fr
Ensemble Pour Toujours,fr
La Vie Continue,fr
Femme Amoureuse,fr
Je Veux Danser Avec Toi,fr
La Vie en Rose,fr
Quand On N'a Que L'amour,fr
Je Ne Regrette Rien,fr
Sous le Ciel de Paris,fr
Pour Que Tu M'aimes Encore,fr
Le Temps des Fleurs,fr
Moi Je Joue,fr
La Mer et le Soleil,fr
Tous les Garçons et les Filles,fr
Mon Amour,fr
Avec Toi,fr
Pour Toujours,fr
Je T'aime,fr
La Nuit Est Belle,fr
Dans Tes Yeux,fr
Nous Deux,fr
Chanson d'Amour,fr
Le Cœur de la Nuit,fr
Une Vie à Deux,fr
